id;code;name;unit;allow_fractional_sale;description
11161;13525;PORCA SEXT UNF G.5 1.1/2-12  BICROM;Cento;True;PORCA SEXT UNF G.5 1.1/2-12  BICROM
11162;13526;PORCA SEXT MB CL.8 5MM-0,50 BICROMA;Cento;True;PORCA SEXT MB CL.8 5MM-0,50 BICROMA
11163;13527;PORCA SEXT MB CL.8 6MM-0,75 BICROMA;Cento;True;PORCA SEXT MB CL.8 6MM-0,75 BICROMA
11164;13528;PORCA SEXT MB CL.8 8MM-1,00 BICROMA;Cento;True;PORCA SEXT MB CL.8 8MM-1,00 BICROMA
11165;13529;PORCA SEXT MB CL.8 10MM-1,00 BICROM;Cento;True;PORCA SEXT MB CL.8 10MM-1,00 BICROM
11166;13530;PORCA SEXT MB CL.8 10MM-1,25 BICROM;Cento;True;PORCA SEXT MB CL.8 10MM-1,25 BICROM
11167;13531;PORCA SEXT MB CL.8 12MM-1,50 BICROM;Cento;True;PORCA SEXT MB CL.8 12MM-1,50 BICROM
11168;13532;PORCA SEXT MB CL.8 12MM-1,25 BICROM;Cento;True;PORCA SEXT MB CL.8 12MM-1,25 BICROM
11169;13533;PORCA SEXT MB CL.8 14MM-1,50 BICROM;Cento;True;PORCA SEXT MB CL.8 14MM-1,50 BICROM
11170;13534;PORCA SEXT MB CL.8 16MM-1,50 BICROM;Cento;True;PORCA SEXT MB CL.8 16MM-1,50 BICROM
11171;13535;PORCA SEXT MB CL.8 18MM-1,50 BICROM;Cento;True;PORCA SEXT MB CL.8 18MM-1,50 BICROM
11172;13536;PORCA SEXT MB CL.8 20MM-1,50 BICROM;Cento;True;PORCA SEXT MB CL.8 20MM-1,50 BICROM
11173;13537;PORCA SEXT MB CL.8 22MM-1,50 BICROM;Cento;True;PORCA SEXT MB CL.8 22MM-1,50 BICROM
11174;13538;PORCA SEXT MB CL.8 24MM-2,00 BICROM;Cento;True;PORCA SEXT MB CL.8 24MM-2,00 BICROM
11175;13539;PORCA SEXT MB CL.8 27MM-2,00 BICROM;Cento;True;PORCA SEXT MB CL.8 27MM-2,00 BICROM
11176;13540;PORCA SEXT MB CL.8 30MM-2,00 BICROM;Cento;True;PORCA SEXT MB CL.8 30MM-2,00 BICROM
11177;13541;PORCA SEXT MB CL.8 33MM-2,00 BICROM;Cento;True;PORCA SEXT MB CL.8 33MM-2,00 BICROM
11178;13542;PORCA SEXT MB CL.8 36MM-3,00  BICRO;Cento;True;PORCA SEXT MB CL.8 36MM-3,00  BICRO
11179;13547;PORCA SEXT. PESADA 2H 1/2 UNC BIC.;Cento;True;PORCA SEXT. PESADA 2H 1/2 UNC BIC.
11181;13552;PORCA SEXT. PESADA 2H 1 UNC BICROMA;Cento;True;PORCA SEXT. PESADA 2H 1 UNC BICROMA
11182;13553;PORCA SEXT. PESADA 2H 1.1/8 UNC BIC;Cento;True;PORCA SEXT. PESADA 2H 1.1/8 UNC BIC
11183;13554;PORCA SEXT. PESADA 2H 1.1/4 UNC BIC;Cento;True;PORCA SEXT. PESADA 2H 1.1/4 UNC BIC
11189;13575;JOGO PARA PARAFUSAR 40 PÇS COM CH C;Cento;True;JOGO PARA PARAFUSAR 40 PÇS COM CH C
11196;13600;HASTE GALV. FOGO 5/16X60MM C/PORCA;Cento;True;HASTE GALV. FOGO 5/16X60MM C/PORCA
11198;13611;PARAF MAQ PANELA PHILLPS INOX 6X12;Cento;True;PARAF MAQ PANELA PHILLPS INOX 6X12
11199;13613;HASTE GALV. FOGO 5/16X100MM C/PORCA;Cento;True;HASTE GALV. FOGO 5/16X100MM C/PORCA
11200;13614;PARAF AAT CAB CHATA PHILLIPS INOX 5,5X19;Cento;True;PARAF AAT CAB CHATA PHILLIPS INOX 5,5X19
11217;13647;PARAF MAQ LENT 1/4X1.1/2 ZB;Cento;True;PARAF MAQ LENT 1/4X1.1/2 ZB
11218;13648;PARAF SEXT UNC G.5 RP 5/8X4.1/2;Cento;True;PARAF SEXT UNC G.5 RP 5/8X4.1/2
11219;13649;PARAF SEXT UNC G.5 RP 5/8X8;Cento;True;PARAF SEXT UNC G.5 RP 5/8X8
11220;13650;PARAF MAD FENDA TAMP. 4.8X50;Cento;True;PARAF MAD FENDA TAMP. 4.8X50
11221;13651;PARAF MAD FENDA TAMP. 5.5X50;Cento;True;PARAF MAD FENDA TAMP. 5.5X50
11233;13679;PORCA RAPIDA 1/8 ARO CORCEL;Cento;True;PORCA RAPIDA 1/8 ARO CORCEL
11234;13680;PARAF SEXT 8.8 MA RI 6X90;Cento;True;PARAF SEXT 8.8 MA RI 6X90
11274;13720;PARAF. MANIPULO 8X50 PLASTICO;Cento;True;PARAF. MANIPULO 8X50 PLASTICO
11275;13721;PARAF. MANIPULO 8X30 PLASTICO;Cento;True;PARAF. MANIPULO 8X30 PLASTICO
11279;13725;PARAF ALLEN C/CAB 4X70;Cento;True;PARAF ALLEN C/CAB 4X70
11293;13745;PARAF ALLEN C/CAB 5X80;Cento;True;PARAF ALLEN C/CAB 5X80
11302;13754;PARAF ALLEN C/CAB 5X100;Cento;True;PARAF ALLEN C/CAB 5X100
11325;13778;PARAF FRANCES 3/4X5.1/2 ZB.;Cento;True;PARAF FRANCES 3/4X5.1/2 ZB.
11330;13815;PARAF SEXT INOX 20X120;Cento;True;PARAF SEXT INOX 20X120
11333;13819;PARAF SEXT INOX 24X110;Cento;True;PARAF SEXT INOX 24X110
11335;13821;PARAFUSO P/ SANITARIO INOX B12 JOMA;Cento;True;PARAFUSO P/ SANITARIO INOX B12 JOMA
11340;13831;PARAF SEXT 8.8 MA RI 30X70;Cento;True;PARAF SEXT 8.8 MA RI 30X70
11342;13835;PARAF CORREIA ELEV. 3/8X1.1/2 CAB.;Cento;True;PARAF CORREIA ELEV. 3/8X1.1/2 CAB.
11343;13836;PARAF CORREIA ELEV 5/16X1.1/2 CAB.;Cento;True;PARAF CORREIA ELEV 5/16X1.1/2 CAB.
